merchant_id,category,merchant_risk_score
165,utilities,0.263
166,fuel,0.144
167,atm_withdrawal,0.1
168,dining,0.078
169,grocery,0.31
170,entertainment,0.081
171,entertainment,0.359
172,atm_withdrawal,0.259
173,dining,0.153
174,fuel,0.427
175,online_retail,0.248
176,dining,0.039
177,utilities,0.217
178,fuel,0.235
179,utilities,0.133
180,fuel,0.195
181,travel,0.25
182,atm_withdrawal,0.171
183,online_retail,0.117
184,utilities,0.085
185,online_retail,0.376
186,dining,0.146
187,atm_withdrawal,0.264
188,dining,0.151
189,atm_withdrawal,0.343
190,fuel,0.157
191,grocery,0.357
192,grocery,0.2
193,atm_withdrawal,0.041
194,online_retail,0.114
195,dining,0.177
196,jewelry,0.193
197,entertainment,0.334
198,entertainment,0.308
199,entertainment,0.206
200,electronics,0.131
201,grocery,0.058
202,utilities,0.104
203,grocery,0.106
204,utilities,0.115
205,electronics,0.137
206,travel,0.078
207,utilities,0.212
208,entertainment,0.044
209,utilities,0.094
210,entertainment,0.158
211,grocery,0.074
212,jewelry,0.051
213,travel,0.425
214,electronics,0.204
215,jewelry,0.115
216,electronics,0.318
217,online_retail,0.32
218,fuel,0.173
219,utilities,0.242
220,grocery,0.101
221,electronics,0.208
222,fuel,0.286
223,fuel,0.147
224,utilities,0.421
225,entertainment,0.111
226,electronics,0.131
227,atm_withdrawal,0.12
228,fuel,0.141
229,atm_withdrawal,0.064
230,atm_withdrawal,0.177
231,grocery,0.228
232,online_retail,0.129
233,fuel,0.438
234,fuel,0.23
235,dining,0.03
236,online_retail,0.174
237,fuel,0.427
238,electronics,0.088
239,travel,0.042
240,electronics,0.421
241,jewelry,0.206
242,entertainment,0.261
243,dining,0.039
244,dining,0.223
245,grocery,0.132
246,travel,0.175
247,atm_withdrawal,0.371
248,grocery,0.128
249,electronics,0.247
250,jewelry,0.205
251,online_retail,0.293
252,grocery,0.083
253,fuel,0.155
254,utilities,0.042
255,dining,0.147
256,dining,0.189
257,entertainment,0.207
258,online_retail,0.117
259,atm_withdrawal,0.179
260,travel,0.3
261,travel,0.116
262,electronics,0.065
263,entertainment,0.105
264,online_retail,0.223
265,dining,0.111
266,entertainment,0.195
267,dining,0.152
268,electronics,0.3
269,online_retail,0.186
270,fuel,0.261
271,fuel,0.412
272,fuel,0.084
273,atm_withdrawal,0.163
274,travel,0.203
275,travel,0.208
276,online_retail,0.169
277,grocery,0.057
278,electronics,0.123
279,online_retail,0.263
280,online_retail,0.076
281,entertainment,0.258
282,electronics,0.218
283,jewelry,0.133
284,fuel,0.181
285,electronics,0.164
286,dining,0.223
287,travel,0.076
288,fuel,0.2
289,fuel,0.203
290,fuel,0.208
291,fuel,0.146
292,atm_withdrawal,0.183
293,atm_withdrawal,0.149
294,fuel,0.361
295,atm_withdrawal,0.193
296,jewelry,0.195
297,jewelry,0.275
298,travel,0.107
299,fuel,0.129
300,dining,0.162
